index,reference,lut_real,fast_real,exact_int
0,39.99999998779094312,40.039062500,40.039062500,40
1,20.99999998779094312,21.015625000,21.031250000,21
2,89.99999998776183929,90.031250000,90.054687500,90
3,85.99999998776183929,86.015625000,86.039062500,86
4,55.99999998782004695,56.039062500,56.054687500,56
5,100.99999998780549504,101.007812500,101.007812500,101
6,71.99999998777639121,72.031250000,72.031250000,72
7,140.99999998774728738,141.015625000,141.031250000,141
8,92.99999998779094312,93.015625000,93.046875000,93
9,187.99999998779094312,188.007812500,188.023437500,188
10,65.99999998774728738,66.046875000,66.031250000,66
11,199.99999998779094312,200.023437500,200.039062500,200
12,161.99999998779094312,162.023437500,162.039062500,162
13,260.99999998780549504,261.015625000,261.039062500,261
14,197.99999998782004695,198.015625000,198.015625000,198
15,221.99999998779094312,222.023437500,222.054687500,222
16,265.99999998782004695,266.031250000,266.046875000,266
17,219.99999998783459887,220.000000000,220.015625000,220
18,363.99999998782004695,364.023437500,364.046875000,364
19,260.99999998774728738,261.023437500,261.046875000,261
20,246.99999998779094312,247.023437500,247.031250000,247
21,352.99999998780549504,353.007812500,353.023437500,353
22,343.99999998780549504,344.015625000,344.031250000,344
23,427.99999998777639121,428.031250000,428.031250000,428
24,265.99999998780549504,266.023437500,266.039062500,266
25,461.99999998780549504,462.023437500,462.023437500,462
26,307.99999998776183929,308.031250000,308.054687500,308
27,436.99999998774728738,437.015625000,437.031250000,437
28,435.99999998774728738,436.039062500,436.039062500,436
29,451.99999998777639121,452.015625000,452.023437500,452
30,469.99999998779094312,470.015625000,470.046875000,470
31,646.99999998779094312,647.039062500,647.046875000,647
32,627.99999998787825461,628.031250000,628.046875000,628
33,514.99999998782004695,515.007812500,515.039062500,515
34,641.99999998784915078,642.031250000,642.039062500,642
35,636.99999998779094312,637.031250000,637.046875000,637
36,667.99999998784915078,668.023437500,668.054687500,668
37,626.99999998784915078,627.023437500,627.039062500,627
38,671.99999998789280653,672.031250000,672.046875000,672
39,705.99999998780549504,706.023437500,706.054687500,706
40,695.99999998787825461,696.023437500,696.023437500,696
41,823.99999998787825461,824.023437500,824.054687500,824
42,689.99999998786370270,690.023437500,690.039062500,690
43,637.99999998773273546,638.015625000,638.054687500,638
44,829.99999998784915078,830.023437500,830.054687500,830
45,748.99999998780549504,749.015625000,749.039062500,749
46,772.99999998783459887,773.015625000,773.031250000,773
47,767.99999998784915078,768.015625000,768.039062500,768
48,867.99999998787825461,868.031250000,868.039062500,868
49,761.99999998782004695,762.000000000,762.023437500,762
50,977.99999998783459887,978.031250000,978.062500000,978
51,799.99999998774728738,800.023437500,800.039062500,800
52,1046.99999998789280653,1047.023437500,1047.062500000,1047
53,893.99999998777639121,894.000000000,894.031250000,894
54,1167.99999998789280653,1168.015625000,1168.046875000,1168
55,943.99999998779094312,944.015625000,944.039062500,944
56,927.99999998784915078,928.023437500,928.039062500,928
57,1126.99999998783459887,1127.000000000,1127.046875000,1127
58,1056.99999998780549504,1057.046875000,1057.070312500,1057
59,1106.99999998779094312,1107.023437500,1107.046875000,1107
60,1164.99999998789280653,1165.031250000,1165.062500000,1165
61,1096.99999998784915078,1097.007812500,1097.031250000,1097
62,1175.99999998789280653,1176.015625000,1176.062500000,1176
63,1057.99999998786370270,1058.007812500,1058.039062500,1058
64,1281.99999998796556611,1282.031250000,1282.046875000,1282
65,1139.99999998793646228,1140.015625000,1140.054687500,1140
66,1239.99999998790735845,1240.023437500,1240.062500000,1240
67,1262.99999998787825461,1263.023437500,1263.070312500,1263
68,1330.99999998799466994,1331.023437500,1331.054687500,1331
69,1287.99999998795101419,1288.000000000,1288.039062500,1288
70,1568.99999998802377377,1569.023437500,1569.046875000,1569
71,1439.99999998793646228,1440.023437500,1440.054687500,1440
72,1461.99999998802377377,1462.039062500,1462.062500000,1462
73,1429.99999998795101419,1430.007812500,1430.023437500,1430
74,1466.99999998796556611,1467.039062500,1467.085937500,1467
75,1564.99999998795101419,1565.031250000,1565.062500000,1565
76,1692.99999998799466994,1693.039062500,1693.070312500,1693
77,1696.99999998796556611,1697.023437500,1697.046875000,1697
78,1717.99999998802377377,1718.000000000,1718.023437500,1718
79,1661.99999998796556611,1662.023437500,1662.062500000,1662
80,1768.99999998805287760,1769.023437500,1769.039062500,1769
81,1773.99999998799466994,1774.007812500,1774.031250000,1774
82,1772.99999998796556611,1773.031250000,1773.062500000,1773
83,1793.99999998792191036,1794.015625000,1794.054687500,1794
84,1747.99999998796556611,1748.031250000,1748.054687500,1748
85,1816.99999998795101419,1817.023437500,1817.046875000,1817
86,1902.99999998805287760,1903.023437500,1903.070312500,1903
87,1735.99999998796556611,1736.023437500,1736.031250000,1736
88,1976.99999998805287760,1977.023437500,1977.046875000,1977
89,1972.99999998799466994,1973.007812500,1973.031250000,1973
90,1971.99999998799466994,1972.031250000,1972.070312500,1972
91,1971.99999998793646228,1972.015625000,1972.062500000,1972
92,1830.99999998796556611,1831.046875000,1831.062500000,1831
93,1852.99999998792191036,1853.000000000,1853.039062500,1853
94,1968.99999998798011802,1969.023437500,1969.046875000,1969
95,1926.99999998792191036,1927.015625000,1927.031250000,1927
96,2069.99999998803832568,2070.031250000,2070.046875000,2070
97,1972.99999998800922185,1973.007812500,1973.039062500,1973
98,2188.99999998803832568,2189.023437500,2189.046875000,2189
99,2051.99999998795101419,2052.031250000,2052.070312500,2052
100,2063.99999998800922185,2064.039062500,2064.070312500,2064
101,2272.99999998802377377,2273.023437500,2273.039062500,2273
102,2104.99999998808198143,2105.023437500,2105.046875000,2105
103,2286.99999998800922185,2287.023437500,2287.070312500,2287
104,2270.99999998811108526,2271.039062500,2271.054687500,2271
105,2227.99999998805287760,2228.023437500,2228.039062500,2228
106,2274.99999998803832568,2275.031250000,2275.062500000,2275
107,2367.99999998799466994,2368.023437500,2368.062500000,2368
108,2316.99999998806742951,2317.031250000,2317.046875000,2317
109,2255.99999998799466994,2256.007812500,2256.031250000,2256
110,2346.99999998808198143,2347.015625000,2347.039062500,2347
111,2376.99999998800922185,2377.023437500,2377.054687500,2377
112,2288.99999998798011802,2289.031250000,2289.039062500,2289
113,2372.99999998802377377,2372.992187500,2373.031250000,2373
114,2527.99999998802377377,2528.031250000,2528.054687500,2528
115,2539.99999998793646228,2540.015625000,2540.046875000,2540
116,2292.99999998800922185,2293.039062500,2293.054687500,2293
117,2595.99999998802377377,2596.015625000,2596.054687500,2596
118,2360.99999998800922185,2361.015625000,2361.039062500,2361
119,2618.99999998800922185,2619.023437500,2619.046875000,2619
120,2604.99999998809653334,2605.023437500,2605.046875000,2605
121,2748.99999998808198143,2749.000000000,2749.039062500,2749
122,2577.99999998806742951,2578.039062500,2578.070312500,2578
123,2656.99999998805287760,2657.015625000,2657.070312500,2657
124,2714.99999998806742951,2715.031250000,2715.070312500,2715
125,2603.99999998800922185,2604.023437500,2604.039062500,2604
126,2785.99999998811108526,2786.015625000,2786.054687500,2786
127,2889.99999998808198143,2890.007812500,2890.031250000,2890
128,2799.99999998831481207,2800.039062500,2800.054687500,2800
129,2780.99999998827115633,2781.000000000,2781.015625000,2781
130,2793.99999998827115633,2794.039062500,2794.085937500,2794
131,2721.99999998819839675,2722.015625000,2722.062500000,2722
132,2777.99999998828570824,2778.039062500,2778.078125000,2778
133,2903.99999998825660441,2904.015625000,2904.039062500,2904
134,2712.99999998830026016,2713.015625000,2713.062500000,2713
135,2883.99999998822750058,2884.007812500,2884.078125000,2884
136,2818.99999998831481207,2819.023437500,2819.054687500,2819
137,2981.99999998827115633,2982.007812500,2982.046875000,2982
138,2880.99999998830026016,2881.031250000,2881.070312500,2881
139,2942.99999998824205250,2943.023437500,2943.046875000,2943
140,3075.99999998832936399,3076.023437500,3076.046875000,3076
141,2885.99999998825660441,2886.015625000,2886.062500000,2886
142,3055.99999998830026016,3056.007812500,3056.046875000,3056
143,3048.99999998827115633,3049.031250000,3049.070312500,3049
144,3189.99999998830026016,3190.039062500,3190.070312500,3190
145,3202.99999998830026016,3203.000000000,3203.039062500,3203
146,3123.99999998825660441,3124.023437500,3124.039062500,3124
147,3144.99999998822750058,3145.023437500,3145.046875000,3145
148,3115.99999998825660441,3116.031250000,3116.070312500,3116
149,3173.99999998822750058,3174.023437500,3174.046875000,3174
150,3140.99999998825660441,3141.031250000,3141.054687500,3141
151,3371.99999998824205250,3372.023437500,3372.054687500,3372
152,3172.99999998827115633,3173.023437500,3173.054687500,3173
153,3362.99999998825660441,3363.015625000,3363.031250000,3363
154,3252.99999998830026016,3253.039062500,3253.062500000,3253
155,3166.99999998818384483,3167.015625000,3167.054687500,3167
156,3266.99999998825660441,3267.031250000,3267.078125000,3267
157,3379.99999998822750058,3380.007812500,3380.039062500,3380
