length,signal,mode,mean_abs_error,max_abs_error,mean_rel_error,max_rel_error,reconstruction_l2
1024,random,lut,3.25830552868338485e-06,1.15189192096631815e-05,1.58044393101173908e-07,1.60672455371453077e-06,5.43903498203809953e-06
1024,random,fast,8.08028638197162641e-06,3.03894120309951279e-05,3.56861926745506869e-07,5.64407854759579799e-06,1.52436294455909944e-05
1024,sine,lut,1.21358015014503688e-07,1.57226843212388417e-05,9.26777168924639991e+04,1.57226843212388419e+07,1.53773377806744546e-06
1024,sine,fast,3.49774024640819944e-07,8.96457336463856531e-05,1.73631621804446448e+05,2.76017100778826103e+07,5.22874690549276546e-06
1024,sine_sum,lut,8.72510381183910204e-07,1.54159733161881146e-05,8.25350963391142548e+05,1.54159733161881156e+07,1.86128627239241071e-06
1024,sine_sum,fast,1.30566523275864965e-06,5.84107693628775358e-05,1.13047166730097891e+06,3.76614044670363516e+07,6.58531750259349866e-06
65536,random,lut,3.34632279137947854e-05,1.39875093355223344e-04,2.19950110143486438e-07,3.64636837737948480e-05,5.47200390392276658e-05
65536,random,fast,1.21033254123472433e-04,6.60180973283019186e-04,6.51634726950258004e-07,3.90496505266181538e-05,2.39493988340435472e-04
65536,sine,lut,1.21373943447494220e-07,1.00626218653455143e-03,1.07466224478711865e+02,1.43304932378089172e+06,1.23018656727059460e-05
65536,sine,fast,3.49790726944352319e-07,5.73734919159966158e-03,1.71851445151084874e+02,1.96064125563813350e+06,4.18299923061113738e-05
65536,sine_sum,lut,7.77991556002417046e-06,1.04958721410617706e-03,9.47638693330778158e+05,1.07470892172244310e+08,2.15644063222046207e-05
65536,sine_sum,fast,9.36104626328295944e-06,8.59355669513637080e-03,1.00633739196891035e+06,1.79352925085305423e+08,1.05425030649769358e-04
