index,ref_real,ref_imag,lut_real,lut_imag,lut_abs_err,lut_rel_err,fast_real,fast_imag,fast_abs_err,fast_rel_err
0,3.54287778894612657e+01,0.00000000000000000e+00,3.54287796020507812e+01,0.00000000000000000e+00,1.71258951553454608e-06,4.83389385001614017e-08,3.54287796020507812e+01,0.00000000000000000e+00,1.71258951553454608e-06,4.83389385001614017e-08
1,-4.42167637945976111e+01,1.55784445992901688e+00,-4.42167625427246094e+01,1.55784606933593750e+00,2.03896460208282755e-06,4.60843383355805102e-08,-4.42167549133300781e+01,1.55783748626708984e+00,1.12919827162688432e-05,2.55219512611686651e-07
2,2.37612098896354418e+01,2.50912955380136928e+01,2.37612113952636719e+01,2.50912952423095703e+01,1.53439150653464463e-06,4.44020921227077100e-08,2.37612018585205078e+01,2.50913009643554688e+01,9.69247090022443986e-06,2.80479906187953181e-07
3,-1.78556576665002780e+01,1.69861651493421668e+01,-1.78556556701660156e+01,1.69861640930175781e+01,2.25857745576216948e-06,9.16460871572044017e-08,-1.78556632995605469e+01,1.69861640930175781e+01,5.73124677795275455e-06,2.32556266950985642e-07
4,-1.96388541804433103e+01,-4.94729703705683264e+01,-1.96388511657714844e+01,-4.94729652404785156e+01,5.95029979785774328e-06,1.11788126876847953e-07,-1.96388359069824219e+01,-4.94729690551757812e+01,1.83207431724125128e-05,3.44191323430987829e-07
5,3.30217034676561241e+01,-1.88813190846414614e+01,3.30217018127441406e+01,-1.88813171386718750e+01,2.55451195025638311e-06,6.71557356699615443e-08,3.30217018127441406e+01,-1.88813171386718750e+01,2.55451195025638311e-06,6.71557356699615443e-08
6,1.37251759467996308e+01,3.26695534560075487e+01,1.37251701354980469e+01,3.26695518493652344e+01,6.02930556744982574e-06,1.70148363106671613e-07,1.37251605987548828e+01,3.26695594787597656e+01,1.64874504352148736e-05,4.65279570254180264e-07
7,3.27487951746701356e+00,-2.69474087064934551e+01,3.27487754821777344e+00,-2.69474067687988281e+01,2.76271660456068914e-06,1.01773730192936644e-07,3.27488327026367188e+00,-2.69474048614501953e+01,5.37288008691045689e-06,1.97927665625037417e-07
8,-1.45541246232648227e+01,-4.08218060759856360e+00,-1.45541210174560547e+01,-4.08218574523925781e+00,6.27671958703560459e-06,4.15242908511662976e-07,-1.45541210174560547e+01,-4.08218669891357422e+00,7.07855743990464533e-06,4.68289325125175912e-07
9,3.88646422351558556e+01,-9.36077470346248752e+00,3.88646469116210938e+01,-9.36077308654785156e+00,4.94810469409499854e-06,1.23776730778755485e-07,3.88646392822265625e+01,-9.36075496673583984e+00,1.99564067450824428e-05,4.99209078568050495e-07
10,6.62357708313280114e+00,1.53495168278827112e+01,6.62357521057128906e+00,1.53495235443115234e+01,6.97258220505086824e-06,4.17079371887445757e-07,6.62357902526855469e+00,1.53495187759399414e+01,2.75078502564958934e-06,1.64543874414880695e-07
11,6.09665599304021999e+00,-4.24211067357335558e+00,6.09665632247924805e+00,-4.24211215972900391e+00,1.52223148182145358e-06,2.04950980892320173e-07,6.09665203094482422e+00,-4.24211502075195312e+00,5.88185019225326721e-06,7.91923554833813504e-07
12,-9.60322188786318343e+00,-2.68169392412862138e+01,-9.60322093963623047e+00,-2.68169364929199219e+01,2.90734442897132138e-06,1.02067384294554609e-07,-9.60321140289306641e+00,-2.68169384002685547e+01,1.05186457805964984e-05,3.69275360169934806e-07
13,-5.09991541774845736e+00,2.86323207622025109e+01,-5.09991550445556641e+00,2.86323204040527344e+01,3.68496112826682215e-07,1.26705133470577080e-08,-5.09992218017578125e+00,2.86323146820068359e+01,9.09391020169439457e-06,3.12688537481825656e-07
14,-2.52140617539591005e+00,-2.61362613529528041e+01,-2.52140808105468750e+00,-2.61362609863281250e+01,1.94060532601350271e-06,7.39064195116931309e-08,-2.52139854431152344e+00,-2.61362628936767578e+01,7.78506770794784265e-06,2.96488148433807377e-07
15,-2.57798249957106833e+01,1.05411289972911959e+00,-2.57798233032226562e+01,1.05411481857299805e+00,2.55860851863568355e-06,9.91656191897584192e-08,-2.57798156738281250e+01,1.05410385131835938e+00,1.29911982402130904e-05,5.03508140508566539e-07
16,4.13097632078575572e+00,2.72753910476734518e+00,4.13097572326660156e+00,2.72754096984863281e+00,1.95845790076309000e-06,3.95632439776009456e-07,4.13097000122070312e+00,2.72754096984863281e+00,6.58903867521126075e-06,1.33106636902258288e-06
17,-1.83103965034664213e+01,-3.44329124390626973e+00,-1.83103981018066406e+01,-3.44328689575195312e+00,4.63261669227922050e-06,2.48646441709511643e-07,-1.83103923797607422e+01,-3.44328927993774414e+00,4.56750707692274132e-06,2.45151813240369164e-07
18,1.98058729900636834e+01,-3.01002415670913450e+01,1.98058738708496094e+01,-3.01002388000488281e+01,2.90384368341110004e-06,8.05909328412336584e-08,1.98058815002441406e+01,-3.01002349853515625e+01,1.07583674402423944e-05,2.98579042946074376e-07
19,-1.94578698220607862e+01,5.35115370900634701e+00,-1.94578685760498047e+01,5.35114955902099609e+00,4.33300378246839166e-06,2.14714791712033640e-07,-1.94578723907470703e+01,5.35114908218383789e+00,5.29203512433245307e-06,2.62237993894965559e-07
20,4.22153308238727192e+01,-2.14811448632327391e+01,4.22153320312500000e+01,-2.14811439514160156e+01,1.51300020998729353e-06,3.19424934276494360e-08,4.22153320312500000e+01,-2.14811401367187500e+01,4.87828805906832458e-06,1.02990523885174698e-07
21,1.09560383337483955e+01,3.20764920448841124e+01,1.09560365676879883e+01,3.20764884948730469e+01,3.96504072206372257e-06,1.16976793065459824e-07,1.09560384750366211e+01,3.20764808654785156e+01,1.11802983797653854e-05,3.29841618700755638e-07
22,-9.25900734502706868e+00,2.00770447769530591e+00,-9.25900840759277344e+00,2.00769996643066406e+00,4.63471191615195040e-06,4.89193969252768660e-07,-9.25900650024414062e+00,2.00770187377929688e+00,2.73752384056280397e-06,2.88945716091212611e-07
23,-1.81029635544045107e+01,2.63762132396951543e+00,-1.81029644012451172e+01,2.63761711120605469e+00,4.29703560481307422e-06,2.34886332662440317e-07,-1.81029567718505859e+01,2.63761425018310547e+00,9.80007611784314259e-06,5.35695803068189045e-07
24,-7.02865440769860470e+01,6.74109662946365518e+00,-7.02865371704101562e+01,6.74110031127929688e+00,7.82665681847505569e-06,1.10844922617906795e-07,-7.02865371704101562e+01,6.74108314514160156e+00,1.51501726650328628e-05,2.14564117943616795e-07
25,-1.02008143739589734e+01,3.15758485548352752e+01,-1.02008190155029297e+01,3.15758438110351562e+01,6.63683432569564829e-06,2.00008938283463534e-07,-1.02008152008056641e+01,3.15758361816406250e+01,1.24007911562724020e-05,3.73712669523513342e-07
26,1.40710346876015819e+01,1.79539201483220516e+01,1.40710353851318359e+01,1.79539184570312500e+01,1.82948436203439276e-06,8.02021916637035420e-08,1.40710277557373047e+01,1.79539165496826172e+01,7.81031037394336498e-06,3.42393749060229421e-07
27,4.28799879861846662e+01,-1.87260706735662641e+00,4.28799896240234375e+01,-1.87260460853576660e+00,2.95437232949930086e-06,6.88330216784252704e-08,4.28799743652343750e+01,-1.87261223793029785e+00,1.45693211553551467e-05,3.39446179113267411e-07
28,-1.91507749935663583e+01,1.42859220740367387e-01,-1.91507720947265625e+01,1.42857670783996582e-01,3.28719286213834059e-06,1.71643257539646626e-07,-1.91507682800292969e+01,1.42856717109680176e-01,7.16517595684596319e-06,3.74135073193657204e-07
29,2.65454123262192354e+00,-1.84651634000706082e+01,2.65453910827636719e+00,-1.84651660919189453e+01,3.42912401538131930e-06,1.83818005077770810e-07,2.65453529357910156e+00,-1.84651603698730469e+01,6.66740780977870085e-06,3.57406030559435477e-07
30,-6.19055188223871653e+01,-2.28061598637580936e+01,-6.19055099487304688e+01,-2.28061599731445312e+01,8.87433087962077413e-06,1.34514935793533062e-07,-6.19055023193359375e+01,-2.28061542510986328e+01,1.74313695976474189e-05,2.64220434647697778e-07
31,-2.11771078505700281e+01,-2.80122985954534336e+01,-2.11771049499511719e+01,-2.80122985839843750e+01,2.90064153047961113e-06,8.26008588405586384e-08,-2.11771049499511719e+01,-2.80122985839843750e+01,2.90064153047961113e-06,8.26008588405586384e-08
32,-5.71555518196930823e+00,-2.23790652878468350e+01,-5.71555662155151367e+00,-2.23790664672851562e+01,1.86104048312055846e-06,8.05735732826973159e-08,-5.71555662155151367e+00,-2.23790645599365234e+01,1.61314920200647412e-06,6.98411435015373525e-08
33,3.96881019613642572e+00,3.61943028409577536e+01,3.96881294250488281e+00,3.61943054199218750e+01,3.76743887029924985e-06,1.03469093545021250e-07,3.96880340576171875e+00,3.61942977905273438e+01,8.46262583280499702e-06,2.32417898226298892e-07
34,-3.20939700189659227e+00,-3.29203669691089686e+01,-3.20939731597900391e+00,-3.29203681945800781e+01,1.26507991900280058e-06,3.82471624070615785e-08,-3.20939826965332031e+00,-3.29203567504882812e+01,1.02969614874672119e-05,3.11308046546856123e-07
35,4.40772455001779484e+00,3.32727205511895576e+01,4.40772247314453125e+00,3.32727203369140625e+01,2.08789763657761406e-06,6.22075683176403246e-08,4.40772056579589844e+00,3.32727165222167969e+01,5.66627263963180169e-06,1.68822951930751153e-07
36,-7.75606929112009524e+00,-3.01573302560159746e+01,-7.75606918334960938e+00,-3.01573257446289062e+01,4.51267412497400632e-06,1.44921535299240977e-07,-7.75606775283813477e+00,-3.01573219299316406e+01,8.46699425573202918e-06,2.71911902550155385e-07
37,2.44684047813248249e+01,1.75088000165870525e+01,2.44684047698974609e+01,1.75088005065917969e+01,4.90137974572666458e-07,1.62903894831995968e-08,2.44684047698974609e+01,1.75087947845458984e+01,5.23205363340836570e-06,1.73894282644642523e-07
38,1.17784567418791219e+01,-3.12749348013588069e+01,1.17784576416015625e+01,-3.12749347686767578e+01,9.00315825897404726e-07,2.69399485538213041e-08,1.17784576416015625e+01,-3.12749252319335938e+01,9.61162834173842534e-06,2.87606599369487276e-07
39,-3.79753286101057768e+01,3.15548602664434945e+01,-3.79753265380859375e+01,3.15548591613769531e+01,2.34828411295974719e-06,4.75607292160643880e-08,-3.79753303527832031e+01,3.15548515319824219e+01,8.90661186095648212e-06,1.80389141421917775e-07
40,-3.34611892964701951e+01,3.26931554181302815e+01,-3.34611892700195312e+01,3.26931571960449219e+01,1.77811138744648322e-06,3.80089894232624030e-08,-3.34611892700195312e+01,3.26931533813476562e+01,2.03695436866906984e-06,4.35420286946118262e-08
41,-5.77662562085020426e+00,7.44640494137697218e+00,-5.77662467956542969e+00,7.44640445709228516e+00,1.05855972194163066e-06,1.12321789604358663e-07,-5.77662277221679688e+00,7.44640207290649414e+00,4.04262726120131660e-06,4.28955607576515026e-07
42,1.18333961424980512e+01,2.49975636780114918e+01,1.18333921432495117e+01,2.49975624084472656e+01,4.19592447556759919e-06,1.51713146605069704e-07,1.18333902359008789e+01,2.49975566864013672e+01,9.15262270008554611e-06,3.30933790063304168e-07
43,2.00876185550417077e+01,-1.35527430935442990e+01,2.00876178741455078e+01,-1.35527420043945312e+01,1.28447142883437198e-06,5.30072648029739768e-08,2.00876159667968750e+01,-1.35527362823486328e+01,7.28638440630270818e-06,3.00692797839531474e-07
44,2.04449939905220184e+01,-1.33921455685429347e+00,2.04449958801269531e+01,-1.33921551704406738e+00,2.11956863803560625e-06,1.03450068125097302e-07,2.04449939727783203e+01,-1.33921408653259277e+00,4.70656287503850863e-07,2.29713839561730803e-08
45,-5.64513184385386779e-02,-1.26285117355724257e+01,-5.64517974853515625e-02,-1.26285123825073242e+01,8.04991063232683870e-07,6.37433006717353033e-08,-5.64551353454589844e-02,-1.26285095214843750e+01,4.41259156669178452e-06,3.49411519983415689e-07
46,4.54131459095631698e+01,1.63333754362066124e+01,4.54131431579589844e+01,1.63333740234375000e+01,3.09309588566399789e-06,6.40908809782590397e-08,4.54131355285644531e+01,1.63333702087402344e+01,1.16228885862297433e-05,2.40833519728956951e-07
47,-9.65135134352709123e+00,-1.67823203648308450e+01,-9.65135097503662109e+00,-1.67823219299316406e+01,1.60789481218955636e-06,8.30540511652846725e-08,-9.65135383605957031e+00,-1.67823123931884766e+01,8.35223324682995756e-06,4.31425490130151315e-07
48,-1.77467786640786755e+01,-6.61321198841381772e+01,-1.77467803955078125e+01,-6.61321182250976562e+01,2.39797045571581466e-06,3.50212181183850071e-08,-1.77467784881591797e+01,-6.61321105957031250e+01,9.29010082766577376e-06,1.35677504554722386e-07
49,7.89259803107626023e+00,3.87240085004020074e+00,7.89260053634643555e+00,3.87240219116210938e+00,2.84165209431750893e-06,3.23231150433567002e-07,7.89259099960327148e+00,3.87239742279052734e+00,7.82225368517891461e-06,8.89762706243898866e-07
50,-1.59233802290379405e+01,-3.23041425210941782e+01,-1.59233808517456055e+01,-3.23041381835937500e+01,4.38197156544401702e-06,1.21669261811704840e-07,-1.59233732223510742e+01,-3.23041343688964844e+01,1.07495110623913401e-05,2.98469548755591717e-07
