index,ref_real,ref_imag,lut_real,lut_imag,lut_abs_err,lut_rel_err,fast_real,fast_imag,fast_abs_err,fast_rel_err
0,-3.24964454504336098e-14,0.00000000000000000e+00,-1.38446925364993367e-14,0.00000000000000000e+00,1.86517529139342731e-14,1.86517529139342726e-02,-1.38446925364993367e-14,0.00000000000000000e+00,1.86517529139342731e-14,1.86517529139342726e-02
1,5.21291366878553115e-16,1.81464553946168490e-15,-1.61952411523820158e-14,4.23907802848781656e-15,1.68914277774657493e-14,1.68914277774657486e-02,-1.61952411523820158e-14,4.23907464035602755e-15,1.68914272911663511e-14,1.68914272911663520e-02
2,-6.19694907144043479e-15,1.12723124206300150e-14,-1.73033618412320872e-14,-5.12325082938037621e-15,1.98032042583538071e-14,1.98032042583538084e-02,-1.73033618412320872e-14,-5.12324913531448170e-15,1.98032028557947236e-14,1.98032028557947257e-02
3,-3.79457720769118392e-14,-1.28510463346165603e-14,-3.94449013382813796e-14,-6.13742794108342038e-15,6.87895780451376868e-15,6.87895780451376875e-03,-3.94449013382813796e-14,-6.13742794108342038e-15,6.87895780451376868e-15,6.87895780451376875e-03
4,4.08183737096642616e-15,-3.09471572598885251e-14,-2.68005120862817997e-14,-3.54691861818856591e-14,3.12116685483326617e-14,3.12116685483326620e-02,-2.68005103922159052e-14,-3.54691895700174481e-14,3.12116673630227981e-14,3.12116673630227978e-02
5,3.36642578247188575e-14,-1.23419035671509884e-14,3.30522318770041373e-14,-2.34432953057734858e-14,1.11182496057172572e-14,1.11182496057172578e-02,3.30522284888723483e-14,-2.34432953057734858e-14,1.11182497922241590e-14,1.11182497922241597e-02
6,-2.64769743903750891e-15,5.66282003329755531e-15,-1.74816182309158602e-14,2.52013985851604061e-14,2.45316378965415983e-14,2.45316378965415999e-02,-1.74816165368499657e-14,2.52013985851604061e-14,2.45316368721648940e-14,2.45316368721648949e-02
7,-2.96101402461520039e-15,3.15877413268718531e-14,-7.07069832913721774e-14,-1.16460279394876680e-14,8.03658830404369647e-14,8.03658830404369723e-02,-7.07069832913721774e-14,-1.16460194691581954e-14,8.03658784837242057e-14,8.03658784837242013e-02
8,1.97196036606514277e-14,-4.14558429177200072e-14,2.06418727461332371e-14,-1.39340158877322706e-13,9.78886606872592066e-14,9.78886606872592102e-02,2.06418693580014481e-14,-1.39340158877322706e-13,9.78886606553376029e-14,9.78886606553376060e-02
9,9.12850990773558080e-15,4.41169381506255759e-14,6.17061198145141265e-14,1.01824566505859075e-14,6.25775846304881955e-14,6.25775846304881950e-02,6.17061198145141265e-14,1.01824549565200130e-14,6.25775855491437933e-14,6.25775855491437910e-02
10,2.33452158220699358e-14,-2.64107423298182102e-15,3.39798583151237898e-14,-9.37412972088933968e-15,1.25868843308544097e-14,1.25868843308544094e-02,3.39798549269920008e-14,-9.37413141495523419e-15,1.25868823744270112e-14,1.25868823744270109e-02
11,3.18255674235708087e-14,2.27049986247757259e-14,3.86936712054933296e-14,1.77928113594735121e-14,8.44395838979892601e-15,8.44395838979892545e-03,3.86936745936251186e-14,1.77928079713417231e-14,8.44396311663165651e-15,8.44396311663165623e-03
12,5.51101424103214602e-16,7.06628849213154698e-14,5.99077350362875807e-15,5.35576459212688122e-14,1.79493518986476764e-14,1.79493518986476759e-02,5.99077265659581082e-15,5.35576459212688122e-14,1.79493516419486491e-14,1.79493516419486493e-02
13,-1.73734524893582785e-14,3.23739271840235393e-14,-1.02941760611640135e-14,6.30659990240789101e-15,2.70115106270206657e-14,2.70115106270206670e-02,-1.02941845314934860e-14,6.30660159647378551e-15,2.70115067722364790e-14,2.70115067722364807e-02
