index,ref_real,ref_imag,lut_real,lut_imag,lut_abs_err,lut_rel_err,fast_real,fast_imag,fast_abs_err,fast_rel_err
0,7.55090434623184592e-14,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,7.55090434623184592e-14,7.55090434623184592e-02,0.00000000000000000e+00,0.00000000000000000e+00,7.55090434623184592e-14,7.55090434623184592e-02
1,-6.40664677589098734e-14,6.24260954315096365e-14,9.95656364466412924e-07,-1.10057868596413755e-07,1.00172075543027801e-06,1.00172075543027802e+06,4.32478486800391693e-07,-6.52560117941902718e-07,7.82861728507539738e-07,7.82861728507539723e+05
2,-8.87611730172158753e-14,1.93746661169096686e-14,2.74077223139101989e-07,-5.03659691730717896e-08,2.78666656959298786e-07,2.78666656959298765e+05,2.74077251560811419e-07,-5.03658270645246375e-08,2.78666659228385279e-07,2.78666659228385310e+05
3,5.24323083655271868e-14,-1.28138642650817216e-13,-1.17866790105836117e-07,-8.94791867267485941e-08,1.47983426422439093e-07,1.47983426422439108e+05,-2.52854647442291025e-07,2.08361086606601020e-07,3.27642938362460808e-07,3.27642938362460816e+05
4,1.56602666469841033e-14,3.95973156303887588e-14,2.05274758968698734e-07,4.97246901431935839e-08,2.11211413309632405e-07,2.11211413309632422e+05,2.05274744757844019e-07,4.97247718556081963e-08,2.11211418735452508e-07,2.11211418735452520e+05
5,-5.24801503624375413e-14,4.83194488732300976e-14,2.62046526700032700e-08,-5.89474325352057349e-07,5.90056542873156377e-07,5.90056542873156373e+05,4.16332923691697943e-08,-3.38984875725145685e-07,3.41532010407314428e-07,3.41532010407314461e+05
6,-1.60925112649495940e-14,-7.88852306410499479e-14,4.14889399280582438e-07,5.04380125221359776e-07,6.53094646497146929e-07,6.53094646497146925e+05,4.14889171906906995e-07,5.04380068377940916e-07,6.53094458154435128e-07,6.53094458154435153e+05
7,5.45603526549592099e-14,-6.97116327862908816e-14,-2.13959367556526558e-07,-1.94084833537999657e-07,2.88872861068888734e-07,2.88872861068888742e+05,-2.56793128983190400e-07,-9.82038955044117756e-07,1.01505818129775077e-06,1.01505818129775079e+06
8,5.96239944917196106e-14,1.44699253109192972e-13,1.31643150780291762e-06,-1.75308159100495686e-07,1.32805299560507068e-06,1.32805299560507061e+06,1.31643150780291762e-06,-1.75307690142290085e-07,1.32805293370079449e-06,1.32805293370079459e+06
9,-1.46337650609190972e-13,1.50661728170635129e-14,6.18771764493430965e-07,7.07898891505465144e-07,9.40212474336285581e-07,9.40212474336285610e+05,5.50079107597412076e-07,-5.76775818217356573e-08,5.53094829837089765e-07,5.53094829837089754e+05
10,-1.70671325663415513e-13,-4.37758659424339769e-14,-5.66096503007429419e-08,6.29860608114540810e-09,5.69588112054196477e-08,5.69588112054196463e+04,-5.66096787224523723e-08,6.29853502687183209e-09,5.69588315955030557e-08,5.69588315955030557e+04
11,1.46196235251975856e-13,-2.68070798264344767e-14,-3.84281122478569159e-08,5.38461222276964691e-08,6.61523908329947072e-08,6.61523908329947153e+04,1.06331697224959498e-07,2.24775448032232816e-07,2.48657219548141518e-07,2.48657219548141526e+05
12,-1.65203209484959463e-13,6.82323851744002800e-14,6.15603880760318134e-07,-6.08172911142901285e-07,8.65356986595057096e-07,8.65356986595057067e+05,6.15604051290574716e-07,-6.08172570082388120e-07,8.65356868210842841e-07,8.65356868210842833e+05
13,-4.61966646633843815e-13,2.57534702166068007e-14,-4.93534884071777924e-08,4.00031474612205784e-08,6.35292921824638006e-08,6.35292921824638033e+04,-2.69879279812812456e-07,1.18426584094777354e-07,2.94719232563148109e-07,2.94719232563148136e+05
14,2.30544323635010643e-13,-7.98503098875753457e-13,-1.32377991235443915e-07,2.29123855888246908e-07,2.64616894493769974e-07,2.64616894493769971e+05,-1.32377962813734484e-07,2.29123713779699756e-07,2.64616757227454854e-07,2.64616757227454858e+05
15,-8.51297952515648190e-14,2.23179662298744818e-13,-1.86046349881507922e-06,-1.82938492798712105e-07,1.86943592761702225e-06,1.86943592761702230e+06,8.62918750499375165e-06,-1.37311617436353117e-05,1.62175117519442038e-05,1.62175117519442048e+07
