log2_x,count,native_sin,native_cos,std_sin,std_cos
-149,4,7.006492322e-46,0.000000000e+00,0.000000000e+00,0.000000000e+00
-148,4,3.503246161e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-147,8,7.707141554e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-146,16,1.611493234e-44,0.000000000e+00,0.000000000e+00,0.000000000e+00
-145,32,3.293051391e-44,0.000000000e+00,0.000000000e+00,0.000000000e+00
-144,64,6.656167706e-44,0.000000000e+00,0.000000000e+00,0.000000000e+00
-143,128,1.338240033e-43,0.000000000e+00,0.000000000e+00,0.000000000e+00
-142,256,2.683486559e-43,0.000000000e+00,0.000000000e+00,0.000000000e+00
-141,512,5.373979611e-43,0.000000000e+00,0.000000000e+00,0.000000000e+00
-140,1024,1.075496571e-42,0.000000000e+00,0.000000000e+00,0.000000000e+00
-139,2048,2.151693792e-42,0.000000000e+00,0.000000000e+00,0.000000000e+00
-138,4096,4.304088233e-42,0.000000000e+00,0.000000000e+00,0.000000000e+00
-137,8192,8.608877116e-42,0.000000000e+00,0.000000000e+00,0.000000000e+00
-136,16384,1.721845488e-41,0.000000000e+00,0.000000000e+00,0.000000000e+00
-135,32768,3.443761041e-41,0.000000000e+00,0.000000000e+00,0.000000000e+00
-134,65536,6.887592147e-41,0.000000000e+00,0.000000000e+00,0.000000000e+00
-133,131072,1.377525436e-40,0.000000000e+00,0.000000000e+00,0.000000000e+00
-132,262144,2.755057878e-40,0.000000000e+00,0.000000000e+00,0.000000000e+00
-131,524288,5.510122763e-40,0.000000000e+00,0.000000000e+00,0.000000000e+00
-130,1048576,1.102025253e-39,0.000000000e+00,0.000000000e+00,0.000000000e+00
-129,2097152,2.204051207e-39,0.000000000e+00,0.000000000e+00,0.000000000e+00
-128,4194304,4.408103115e-39,0.000000000e+00,0.000000000e+00,0.000000000e+00
-127,8388608,8.816206931e-39,0.000000000e+00,0.000000000e+00,0.000000000e+00
-126,16777216,1.763241456e-38,0.000000000e+00,0.000000000e+00,0.000000000e+00
-125,16777216,3.526482912e-38,0.000000000e+00,0.000000000e+00,0.000000000e+00
-124,16777216,7.052965825e-38,0.000000000e+00,0.000000000e+00,0.000000000e+00
-123,16777216,1.410593165e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00
-122,16777216,2.821186330e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00
-121,16777216,5.642372660e-37,0.000000000e+00,0.000000000e+00,0.000000000e+00
-120,16777216,1.128474532e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00
-119,16777216,2.256949064e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00
-118,16777216,4.513898128e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00
-117,16777216,9.027796256e-36,0.000000000e+00,0.000000000e+00,0.000000000e+00
-116,16777216,1.805559251e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00
-115,16777216,3.611118502e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00
-114,16777216,7.222237004e-35,0.000000000e+00,0.000000000e+00,0.000000000e+00
-113,16777216,1.444447401e-34,0.000000000e+00,0.000000000e+00,0.000000000e+00
-112,16777216,2.888894802e-34,0.000000000e+00,0.000000000e+00,0.000000000e+00
-111,16777216,5.777789604e-34,0.000000000e+00,0.000000000e+00,0.000000000e+00
-110,16777216,1.155557921e-33,0.000000000e+00,0.000000000e+00,0.000000000e+00
-109,16777216,2.311115841e-33,0.000000000e+00,0.000000000e+00,0.000000000e+00
-108,16777216,4.622231683e-33,0.000000000e+00,0.000000000e+00,0.000000000e+00
-107,16777216,9.244463366e-33,0.000000000e+00,0.000000000e+00,0.000000000e+00
-106,16777216,1.848892673e-32,0.000000000e+00,0.000000000e+00,0.000000000e+00
-105,16777216,3.697785346e-32,0.000000000e+00,0.000000000e+00,0.000000000e+00
-104,16777216,7.395570693e-32,0.000000000e+00,0.000000000e+00,0.000000000e+00
