x,x_over_pi,native_sin,ref,abs_err
np.float32(102940.0),32766.819684,np.float32(0.53666204),np.float64(0.5366653694412458),3.327300e-06
np.float32(102940.01),32766.822171,np.float32(0.53005356),np.float64(0.5300569091257138),3.353160e-06
np.float32(102940.016),32766.824657,np.float32(0.52341276),np.float64(0.5234160968684629),3.332796e-06
np.float32(102940.02),32766.827144,np.float32(0.51673996),np.float64(0.5167433379904453),3.373505e-06
np.float32(102940.03),32766.829631,np.float32(0.51003563),np.float64(0.5100390397624702),3.405722e-06
np.float32(102940.04),32766.832118,np.float32(0.50330025),np.float64(0.5033036113803463),3.361804e-06
np.float32(102940.05),32766.834605,np.float32(0.49653405),np.float64(0.4965374639399062),3.414429e-06
np.float32(102940.055),32766.837091,np.float32(0.48973757),np.float64(0.4897410104119158),3.440126e-06
np.float32(102940.06),32766.839578,np.float32(0.48291123),np.float64(0.4829146656168682),3.436483e-06
np.float32(102940.07),32766.842065,np.float32(0.47605538),np.float64(0.4760588461996654),3.462517e-06
np.float32(102940.08),32766.844552,np.float32(0.4691705),np.float64(0.46917397060418836),3.459835e-06
np.float32(102940.086),32766.847039,np.float32(0.46225697),np.float64(0.4622604590477576),3.491026e-06
np.float32(102940.09),32766.849525,np.float32(0.45531523),np.float64(0.45531873349548485),3.501219e-06
np.float32(102940.1),32766.852012,np.float32(0.4483457),np.float64(0.44834921763451896),3.526669e-06
np.float32(102940.11),32766.854499,np.float32(0.4413488),np.float64(0.4413523368481858),3.545726e-06
np.float32(102940.12),32766.856986,np.float32(0.43432498),np.float64(0.4343285181900253),3.538408e-06
np.float32(102940.125),32766.859472,np.float32(0.4272746),np.float64(0.4272781903577263),3.575785e-06
np.float32(102940.13),32766.861959,np.float32(0.4201982),np.float64(0.4202017836669609),3.581534e-06
np.float32(102940.14),32766.864446,np.float32(0.41309616),np.float64(0.41309973002512046),3.570329e-06
np.float32(102940.15),32766.866933,np.float32(0.40596884),np.float64(0.40597246290495387),3.618014e-06
np.float32(102940.16),32766.869420,np.float32(0.3988168),np.float64(0.39882041731811085),3.623161e-06
np.float32(102940.164),32766.871906,np.float32(0.3916404),np.float64(0.39164402978859103),3.634863e-06
np.float32(102940.17),32766.874393,np.float32(0.3844401),np.float64(0.38444373832610074),3.644094e-06
np.float32(102940.18),32766.876880,np.float32(0.37721634),np.float64(0.3772199823993192),3.643288e-06
np.float32(102940.19),32766.879367,np.float32(0.36996955),np.float64(0.36997320290907554),3.656114e-06
np.float32(102940.195),32766.881854,np.float32(0.36270016),np.float64(0.3627038421614386),3.677843e-06
np.float32(102940.2),32766.884340,np.float32(0.35540867),np.float64(0.3554123438407207),3.675323e-06
np.float32(102940.21),32766.886827,np.float32(0.34809545),np.float64(0.3480991529823975),3.706157e-06
np.float32(102940.22),32766.889314,np.float32(0.340761),np.float64(0.34076471594594565),3.710067e-06
np.float32(102940.23),32766.891801,np.float32(0.33340576),np.float64(0.33340948038759854),3.717477e-06
np.float32(102940.234),32766.894288,np.float32(0.32603016),np.float64(0.3260338952330245),3.730276e-06
np.float32(102940.24),32766.896774,np.float32(0.31863466),np.float64(0.31863841064992615),3.751598e-06
np.float32(102940.25),32766.899261,np.float32(0.31121975),np.float64(0.3112234780205647),3.726186e-06
np.float32(102940.26),32766.901748,np.float32(0.3037858),np.float64(0.30378954991420987),3.748980e-06
np.float32(102940.266),32766.904235,np.float32(0.2963333),np.float64(0.2963370800595174),3.767071e-06
np.float32(102940.27),32766.906722,np.float32(0.28886276),np.float64(0.2888665233168358),3.758481e-06
np.float32(102940.28),32766.909208,np.float32(0.28137457),np.float64(0.281378335650444),3.761943e-06
np.float32(102940.29),32766.911695,np.float32(0.2738692),np.float64(0.27387297410072153),3.787461e-06
np.float32(102940.3),32766.914182,np.float32(0.2663471),np.float64(0.26635089675625334),3.786485e-06
np.float32(102940.305),32766.916669,np.float32(0.25880876),np.float64(0.25881256272587033),3.800891e-06
np.float32(102940.31),32766.919156,np.float32(0.25125465),np.float64(0.2512584321106277),3.784140e-06
np.float32(102940.32),32766.921642,np.float32(0.24368514),np.float64(0.24368896597572284),3.824770e-06
np.float32(102940.33),32766.924129,np.float32(0.2361008),np.float64(0.2361046263223541),3.833438e-06
np.float32(102940.336),32766.926616,np.float32(0.22850204),np.float64(0.22850587605952277),3.840919e-06
np.float32(102940.34),32766.929103,np.float32(0.22088934),np.float64(0.22089317897577954),3.834164e-06
np.float32(102940.35),32766.931590,np.float32(0.21326315),np.float64(0.2132669997109171),3.845681e-06
np.float32(102940.36),32766.934076,np.float32(0.20562397),np.float64(0.20562780372761097),3.834292e-06
np.float32(102940.37),32766.936563,np.float32(0.19797221),np.float64(0.19797605728301015),3.849022e-06
np.float32(102940.375),32766.939050,np.float32(0.19030836),np.float64(0.190312227400279),3.865155e-06
np.float32(102940.38),32766.941537,np.float32(0.1826329),np.float64(0.1826367818400928),3.888516e-06
np.float32(102940.39),32766.944024,np.float32(0.17494631),np.float64(0.17495018907208776),3.880936e-06
np.float32(102940.4),32766.946510,np.float32(0.16724904),np.float64(0.16725291824626834),3.879431e-06
np.float32(102940.41),32766.948997,np.float32(0.15954156),np.float64(0.1595454391643725),3.876965e-06
np.float32(102940.414),32766.951484,np.float32(0.15182433),np.float64(0.15182822225119763),3.896928e-06
np.float32(102940.42),32766.953971,np.float32(0.14409785),np.float64(0.1441017385258881),3.888799e-06
np.float32(102940.43),32766.956458,np.float32(0.13636257),np.float64(0.1363664595731867),3.892029e-06
np.float32(102940.44),32766.958944,np.float32(0.12861897),np.float64(0.1286228575146516),3.887001e-06
np.float32(102940.445),32766.961431,np.float32(0.1208675),np.float64(0.12087140497984053),3.906761e-06
np.float32(102940.45),32766.963918,np.float32(0.113108665),np.float64(0.11311257507746368),3.910326e-06
np.float32(102940.46),32766.966405,np.float32(0.10534292),np.float64(0.10534684136650783),3.924222e-06
np.float32(102940.47),32766.968892,np.float32(0.09757075),np.float64(0.09757467782733263),3.930690e-06
np.float32(102940.48),32766.971378,np.float32(0.08979263),np.float64(0.0897965588327413),3.927266e-06
np.float32(102940.484),32766.973865,np.float32(0.08200904),np.float64(0.08201295911902738),3.919300e-06
np.float32(102940.49),32766.976352,np.float32(0.07422043),np.float64(0.07422435375699922),3.927376e-06
np.float32(102940.5),32766.978839,np.float32(0.06642729),np.float64(0.06643121812298416),3.927683e-06
np.float32(102940.51),32766.981325,np.float32(0.058630098),np.float64(0.05863402786981402),3.930212e-06
np.float32(102940.516),32766.983812,np.float32(0.05082934),np.float64(0.05083325889779364),3.919125e-06
np.float32(102940.52),32766.986299,np.float32(0.04302544),np.float64(0.043029387325654415),3.945858e-06
np.float32(102940.53),32766.988786,np.float32(0.03521895),np.float64(0.03522288946149449),3.939100e-06
np.float32(102940.54),32766.991273,np.float32(0.027410299),np.float64(0.0274142417737073),3.943188e-06
np.float32(102940.55),32766.993759,np.float32(0.019599987),np.float64(0.01960392086190046),3.933668e-06
np.float32(102940.555),32766.996246,np.float32(0.011788465),np.float64(0.011792403427806552),3.938345e-06
np.float32(102940.56),32766.998733,np.float32(0.0039762366),np.float64(0.003980166246187699),3.929683e-06
np.float32(102940.57),32767.001220,np.float32(-0.003836286),np.float64(-0.0038323138642642877),3.972157e-06
np.float32(102940.58),32767.003707,np.float32(-0.011648521),np.float64(-0.011644560070030474),3.960757e-06
np.float32(102940.586),32767.006193,np.float32(-0.019460062),np.float64(-0.019456095551868263),3.966013e-06
np.float32(102940.59),32767.008680,np.float32(-0.027270399),np.float64(-0.027266443533913984),3.955500e-06
np.float32(102940.6),32767.011167,np.float32(-0.035079088),np.float64(-0.03507512731278283),3.960749e-06
np.float32(102940.61),32767.013654,np.float32(-0.042885616),np.float64(-0.04288167028666438),3.946135e-06
np.float32(102940.62),32767.016141,np.float32(-0.050689567),np.float64(-0.05068559598441193),3.970896e-06
np.float32(102940.625),32767.018627,np.float32(-0.058490384),np.float64(-0.05848642809462378),3.956275e-06
np.float32(102940.63),32767.021114,np.float32(-0.066287644),np.float64(-0.06628369049471491),3.953713e-06
np.float32(102940.64),32767.023601,np.float32(-0.07408086),np.float64(-0.07407690727997701),3.954825e-06
np.float32(102940.65),32767.026088,np.float32(-0.08186956),np.float64(-0.0818656027926252),3.954707e-06
np.float32(102940.66),32767.028575,np.float32(-0.089653246),np.float64(-0.08964930165082982),3.944454e-06
np.float32(102940.664),32767.031061,np.float32(-0.097431466),np.float64(-0.09742752877773123),3.937206e-06
np.float32(102940.67),32767.033548,np.float32(-0.10520374),np.float64(-0.10519980943043605),3.930868e-06
np.float32(102940.68),32767.036035,np.float32(-0.11296961),np.float64(-0.11296566922899308),3.937886e-06
np.float32(102940.69),32767.038522,np.float32(-0.12072857),np.float64(-0.12072463418534692),3.933057e-06
np.float32(102940.695),32767.041009,np.float32(-0.12848018),np.float64(-0.1284762307322678),3.950366e-06
np.float32(102940.7),32767.043495,np.float32(-0.13622391),np.float64(-0.13621998575225575),3.926487e-06
np.float32(102940.71),32767.045982,np.float32(-0.14395936),np.float64(-0.14395542660641705),3.931728e-06
np.float32(102940.72),32767.048469,np.float32(-0.151686),np.float64(-0.151682081163312),3.916680e-06
np.float32(102940.73),32767.050956,np.float32(-0.1594034),np.float64(-0.159399477827771),3.920805e-06
np.float32(102940.734),32767.053443,np.float32(-0.16711105),np.float64(-0.16710714556967865),3.908493e-06
np.float32(102940.74),32767.055929,np.float32(-0.1748085),np.float64(-0.17480461395272273),3.888245e-06
np.float32(102940.75),32767.058416,np.float32(-0.1824953),np.float64(-0.18249141316310738),3.882838e-06
