x_center,weight,native_sin,native_cos,std_sin,std_cos
-3.140058673,3.067970276e-03,1.222600111e+03,2.631326595e+01,3.593309253e-01,3.998006416e-01
-3.136990711,3.067970276e-03,3.436266468e+01,1.842357305e+02,3.743992827e-01,4.196254267e-01
-3.133922750,3.067970276e-03,4.120430375e+01,4.441357643e+02,2.950535646e-01,4.173639734e-01
-3.130854788,3.067970276e-03,2.771126458e+01,2.203758257e+02,2.671575448e-01,4.197128880e-01
-3.127786826,3.067970276e-03,2.159478962e+01,9.058181691e+01,2.669942477e-01,4.167094844e-01
-3.124718865,3.067970276e-03,1.732950052e+01,3.002679416e+02,2.555025040e-01,4.216709506e-01
-3.121650903,3.067970276e-03,9.355609827e+00,4.421266796e+02,2.541363828e-01,4.206916333e-01
-3.118582942,3.067970276e-03,1.592015405e+01,5.010450842e+02,2.543634863e-01,4.200382959e-01
-3.115514980,3.067970276e-03,1.725498963e+01,3.819088311e+02,2.542420194e-01,4.226699702e-01
-3.112447019,3.067970276e-03,8.664391788e+00,2.284188059e+02,2.541111792e-01,4.201213562e-01
-3.109379057,3.067731857e-03,1.152571540e+01,1.143648251e+02,4.299158741e-01,4.227215074e-01
-3.106311095,3.067970276e-03,5.959021603e+00,3.975342813e+01,4.685861104e-01,4.228568027e-01
-3.103243134,3.067970276e-03,9.145073752e+00,4.715961351e+00,4.686624949e-01,4.248362461e-01
-3.100175172,3.067970276e-03,1.045556417e+01,6.293579733e-01,4.688987584e-01,4.267405317e-01
-3.097107211,3.067970276e-03,4.391652149e+00,3.858844319e-01,4.700316310e-01,4.297994719e-01
-3.094039249,3.067970276e-03,8.656761116e+00,2.804910549e-01,4.698870149e-01,4.317484822e-01
-3.090971288,3.067970276e-03,2.066030877e+00,2.519068613e-01,4.696615261e-01,4.365839797e-01
-3.087903326,3.067970276e-03,3.186738711e+00,2.605809046e-01,4.708818022e-01,4.304899067e-01
-3.084835364,3.067970276e-03,5.663644639e+00,3.470453027e-01,4.712514110e-01,4.334628197e-01
-3.081767403,3.067970276e-03,2.911742405e+00,2.934012436e-01,4.702508474e-01,4.342139008e-01
-3.078699441,3.067970276e-03,6.612134771e+00,2.631282732e-01,3.785000425e-01,4.369162869e-01
-3.075631480,3.067970276e-03,2.640039847e+00,2.549032531e-01,3.191177819e-01,4.343133368e-01
-3.072563518,3.067970276e-03,2.670855385e+00,2.595144854e-01,3.192501394e-01,4.334888026e-01
-3.069495557,3.067970276e-03,3.466451460e+00,2.886330549e-01,3.185307511e-01,4.584085740e-01
-3.066427595,3.067970276e-03,1.655544836e+00,2.815802143e-01,3.184323778e-01,4.346913856e-01
-3.063359633,3.067970276e-03,4.668630982e+00,3.645279198e-01,3.179672159e-01,4.339079068e-01
-3.060291672,3.067970276e-03,2.083614910e+00,3.930250157e-01,3.180088558e-01,4.314028679e-01
-3.057223710,3.067970276e-03,2.301969746e+00,3.579119037e-01,3.167795932e-01,4.345598571e-01
-3.054155749,3.067970276e-03,3.705897737e+00,3.479657083e-01,3.169062813e-01,4.310893268e-01
-3.051087787,3.067970276e-03,2.436818621e+00,4.444998097e-01,3.167521259e-01,4.303342313e-01
-3.048019826,3.067970276e-03,4.480848522e+00,4.598463817e-01,3.158555867e-01,4.297514643e-01
-3.044951864,3.067970276e-03,4.146904220e+00,4.071146230e-01,3.160017073e-01,4.279154564e-01
-3.041883902,3.067970276e-03,3.967323031e+00,3.412369211e-01,3.157097816e-01,4.278581901e-01
-3.038815941,3.067970276e-03,4.796139573e+00,3.049234996e-01,3.154754117e-01,4.281947254e-01
-3.035747979,3.067970276e-03,2.787037050e+00,3.124500151e-01,3.147245856e-01,4.179531192e-01
-3.032680018,3.067970276e-03,4.168419811e+00,2.925509712e-01,3.140607922e-01,4.270005250e-01
-3.029612056,3.067970276e-03,3.169968237e+00,2.673982732e-01,3.137224638e-01,4.279323795e-01
-3.026544094,3.067731857e-03,3.136581281e+00,2.565203196e-01,3.126731312e-01,4.207031451e-01
-3.023476133,3.067970276e-03,3.971390143e+00,4.473362493e-01,3.124913526e-01,4.172875347e-01
-3.020408171,3.067970276e-03,2.011287802e+00,3.412903011e-01,3.123773203e-01,4.193368401e-01
-3.017340210,3.067970276e-03,4.828849067e+00,2.631994576e-01,3.033709108e-01,4.140094388e-01
-3.014272248,3.067970276e-03,9.054911807e-01,2.506587686e-01,2.651318455e-01,4.165358263e-01
