log2_x,count,native_sin,native_cos,std_sin,std_cos
-149,4,7.006492322e-46,0.000000000e+00,0.000000000e+00,0.000000000e+00
-148,4,3.503246161e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-147,8,1.401298464e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-146,16,2.452272313e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-145,32,2.101947696e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-144,64,2.233319428e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-143,128,2.189528851e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-142,256,2.222371783e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-141,512,2.184055028e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-140,1024,2.200476495e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-139,2048,2.196371128e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-138,4096,2.197739584e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-137,8192,2.196371128e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-136,16384,2.196542185e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-135,32768,2.196627714e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-134,65536,2.196670478e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-133,131072,2.196713242e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-132,262144,2.196670478e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-131,524288,2.196691860e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-130,1048576,2.204589880e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-129,2097152,2.307039624e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-128,4194304,2.683330149e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-127,8388608,4.177109279e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-126,16777216,8.249365498e-45,0.000000000e+00,0.000000000e+00,0.000000000e+00
-125,16777216,1.650001225e-44,0.000000000e+00,0.000000000e+00,0.000000000e+00
-124,16777216,3.300128538e-44,0.000000000e+00,0.000000000e+00,0.000000000e+00
-123,16777216,6.596959887e-44,0.000000000e+00,0.000000000e+00,0.000000000e+00
-122,16777216,1.319391977e-43,0.000000000e+00,0.000000000e+00,0.000000000e+00
-121,16777216,2.638783955e-43,0.000000000e+00,0.000000000e+00,0.000000000e+00
-120,16777216,5.277567909e-43,0.000000000e+00,0.000000000e+00,0.000000000e+00
-119,16777216,1.055513582e-42,0.000000000e+00,0.000000000e+00,0.000000000e+00
-118,16777216,2.111027164e-42,0.000000000e+00,0.000000000e+00,0.000000000e+00
-117,16777216,4.222054327e-42,0.000000000e+00,0.000000000e+00,0.000000000e+00
-116,16777216,8.444108655e-42,0.000000000e+00,0.000000000e+00,0.000000000e+00
-115,16777216,1.688821731e-41,0.000000000e+00,0.000000000e+00,0.000000000e+00
-114,16777216,3.377643462e-41,0.000000000e+00,0.000000000e+00,0.000000000e+00
-113,16777216,6.755286924e-41,0.000000000e+00,0.000000000e+00,0.000000000e+00
-112,16777216,1.351057385e-40,0.000000000e+00,0.000000000e+00,0.000000000e+00
-111,16777216,2.702114770e-40,0.000000000e+00,0.000000000e+00,0.000000000e+00
-110,16777216,5.404229539e-40,0.000000000e+00,0.000000000e+00,0.000000000e+00
-109,16777216,1.080845908e-39,0.000000000e+00,0.000000000e+00,0.000000000e+00
-108,16777216,2.161691816e-39,0.000000000e+00,0.000000000e+00,0.000000000e+00
-107,16777216,4.323383631e-39,0.000000000e+00,0.000000000e+00,0.000000000e+00
-106,16777216,8.646767263e-39,0.000000000e+00,0.000000000e+00,0.000000000e+00
-105,16777216,1.729353453e-38,0.000000000e+00,0.000000000e+00,0.000000000e+00
-104,16777216,3.458706905e-38,0.000000000e+00,0.000000000e+00,0.000000000e+00
