x_center,weight,native_sin,native_cos,std_sin,std_cos
-3.140058673,3.067970276e-03,4.965665276e+03,4.710946077e-01,3.426546341e-01,2.371326524e-01
-3.136990711,3.067970276e-03,3.503096232e+02,5.256931511e-01,3.627747447e-01,2.500284956e-01
-3.133922750,3.067970276e-03,2.143002813e+02,5.746024578e-01,2.949927507e-01,2.499527490e-01
-3.130854788,3.067970276e-03,1.397855492e+02,6.381624840e-01,2.671575448e-01,2.499163962e-01
-3.127786826,3.067970276e-03,1.414470826e+02,7.092531489e-01,2.668931746e-01,2.500741965e-01
-3.124718865,3.067970276e-03,7.777697282e+01,7.844165853e-01,2.554116447e-01,2.499648576e-01
-3.121650903,3.067970276e-03,7.187682723e+01,8.539876398e-01,2.540761392e-01,2.500637048e-01
-3.118582942,3.067970276e-03,7.276394605e+01,9.198121739e-01,2.542735488e-01,2.499511094e-01
-3.115514980,3.067970276e-03,7.381642784e+01,9.790828520e-01,2.540434116e-01,2.499948215e-01
-3.112447019,3.067970276e-03,7.473389054e+01,1.032654244e+00,2.538545224e-01,2.500042793e-01
-3.109379057,3.067731857e-03,4.474441254e+01,1.079133030e+00,4.306246172e-01,2.500720674e-01
-3.106311095,3.067970276e-03,3.826836416e+01,1.127456724e+00,4.699698311e-01,2.501419268e-01
-3.103243134,3.067970276e-03,3.893411493e+01,1.174031161e+00,4.711416476e-01,2.500279328e-01
-3.100175172,3.067970276e-03,3.957202365e+01,1.238231645e+00,4.715991914e-01,2.500491936e-01
-3.097107211,3.067970276e-03,4.027228000e+01,1.313497475e+00,4.734676162e-01,2.501071336e-01
-3.094039249,3.067970276e-03,4.109152758e+01,1.414025652e+00,4.733250596e-01,2.501276998e-01
-3.090971288,3.067970276e-03,2.548207171e+01,7.085910061e-01,4.734693872e-01,2.502225682e-01
-3.087903326,3.067970276e-03,2.572909903e+01,6.887150938e-01,4.756522981e-01,2.501638621e-01
-3.084835364,3.067970276e-03,2.597406130e+01,6.939224202e-01,4.777239375e-01,2.503013003e-01
-3.081767403,3.067970276e-03,2.631836067e+01,7.075903742e-01,4.785750277e-01,2.502788001e-01
-3.078699441,3.067970276e-03,1.823399591e+01,7.321432570e-01,3.800931432e-01,2.502650015e-01
-3.075631480,3.067970276e-03,1.314563003e+01,7.497296661e-01,3.170097292e-01,2.502301875e-01
-3.072563518,3.067970276e-03,1.325881512e+01,7.605343078e-01,3.160227765e-01,2.502535522e-01
-3.069495557,3.067970276e-03,1.343578665e+01,7.725196996e-01,3.149056595e-01,2.503538487e-01
-3.066427595,3.067970276e-03,1.355250272e+01,7.673879385e-01,3.146622888e-01,2.503969087e-01
-3.063359633,3.067970276e-03,1.365386591e+01,7.453425808e-01,3.135264965e-01,2.505524887e-01
-3.060291672,3.067970276e-03,1.376329215e+01,7.260208521e-01,3.133917588e-01,2.504996719e-01
-3.057223710,3.067970276e-03,1.390466687e+01,6.929301188e-01,3.115181847e-01,2.504908952e-01
-3.054155749,3.067970276e-03,1.398317593e+01,6.581883767e-01,3.112367507e-01,2.507116856e-01
-3.051087787,3.067970276e-03,1.403418127e+01,6.233316962e-01,3.106656720e-01,2.508527252e-01
-3.048019826,3.067970276e-03,1.408400207e+01,6.038292172e-01,3.089879494e-01,2.510772023e-01
-3.044951864,3.067970276e-03,1.411972618e+01,6.001930252e-01,3.092504394e-01,2.510898748e-01
-3.041883902,3.067970276e-03,1.412577613e+01,8.071453400e-01,3.074377055e-01,2.515690620e-01
-3.038815941,3.067970276e-03,1.453304911e+01,7.667482105e-01,3.061313188e-01,2.513034439e-01
-3.035747979,3.067970276e-03,1.494315795e+01,7.508780883e-01,3.049459764e-01,2.518120322e-01
-3.032680018,3.067970276e-03,1.533270003e+01,7.487423168e-01,3.039853149e-01,2.516890135e-01
-3.029612056,3.067970276e-03,1.568960590e+01,7.533576445e-01,3.037131894e-01,2.518926247e-01
-3.026544094,3.067731857e-03,1.602515028e+01,7.596351297e-01,3.020104350e-01,2.521276109e-01
-3.023476133,3.067970276e-03,1.642470871e+01,7.554233497e-01,3.011036315e-01,2.523627363e-01
-3.020408171,3.067970276e-03,1.681408297e+01,7.478643565e-01,2.987865134e-01,2.524301718e-01
-3.017340210,3.067970276e-03,1.586096383e+01,7.313331723e-01,2.917453889e-01,2.528546111e-01
-3.014272248,3.067970276e-03,8.542676362e+00,7.027908765e-01,2.615711872e-01,2.530487259e-01
-3.011204287,3.067970276e-03,8.830366863e+00,6.709766849e-01,2.611213032e-01,2.534078877e-01
-3.008136325,3.067970276e-03,9.068757249e+00,6.320739468e-01,2.605143575e-01,2.537126610e-01
-3.005068363,3.067970276e-03,9.301777456e+00,5.976415191e-01,2.601632592e-01,2.539584881e-01
-3.002000402,3.067970276e-03,9.536119321e+00,5.627201658e-01,2.597488762e-01,2.542613689e-01
-2.998932440,3.067970276e-03,9.810770881e+00,5.446297452e-01,2.597124819e-01,2.546654404e-01
-2.995864479,3.067970276e-03,1.005532905e+01,5.484138087e-01,2.590316458e-01,2.552570519e-01
-2.992796517,3.067970276e-03,6.130416862e+00,1.226530827e+00,2.587065634e-01,2.553451652e-01
-2.989728556,3.067970276e-03,6.366697380e+00,1.132047051e+00,2.583021316e-01,2.557996718e-01
-2.986660594,3.067970276e-03,6.646877237e+00,1.064369750e+00,2.581973924e-01,2.563959702e-01
-2.983592632,3.067970276e-03,6.901844222e+00,1.009322260e+00,2.572772725e-01,2.567082659e-01
-2.980524671,3.067970276e-03,7.172105862e+00,9.515542565e-01,2.572748919e-01,2.572104119e-01
-2.977456709,3.067970276e-03,7.460437607e+00,9.063253214e-01,2.568177420e-01,2.577354436e-01
-2.974388748,3.067970276e-03,7.797305530e+00,8.537597295e-01,2.567948056e-01,2.570018947e-01
-2.971320786,3.067970276e-03,8.119182770e+00,7.902933149e-01,2.562082446e-01,2.589328028e-01
-2.968252825,3.067970276e-03,8.467940931e+00,7.208624468e-01,2.557351088e-01,2.595659663e-01
-2.965184863,3.067970276e-03,8.838438567e+00,6.451300471e-01,2.554991143e-01,2.598861026e-01
-2.962116901,3.067970276e-03,9.294138893e+00,5.664699314e-01,2.549356279e-01,2.605194589e-01
-2.959048940,3.067970276e-03,9.712195960e+00,4.963469807e-01,2.547068529e-01,2.613491273e-01
-2.955980978,3.067970276e-03,1.011946405e+01,4.235171711e-01,2.542681965e-01,2.617505093e-01
-2.952913017,3.067970276e-03,1.054412725e+01,3.713888287e-01,2.538324356e-01,2.620365183e-01
-2.949845055,3.067970276e-03,1.098187671e+01,3.380535934e-01,2.537144562e-01,2.631527218e-01
-2.946777094,3.067970276e-03,1.138866550e+01,3.196904537e-01,2.532968679e-01,2.639325522e-01
-2.943709132,3.067731857e-03,5.595017438e+00,1.385922686e+00,2.529805762e-01,2.643758895e-01
-2.940641170,3.067970276e-03,5.949058269e+00,1.373668000e+00,2.527584616e-01,2.650794118e-01
-2.937573209,3.067970276e-03,6.300360015e+00,1.386992027e+00,2.530078601e-01,2.660058129e-01
-2.934505247,3.067970276e-03,6.619541685e+00,1.410264666e+00,2.521313352e-01,2.665230545e-01
-2.931437286,3.067970276e-03,6.952116102e+00,1.441346055e+00,2.518743613e-01,2.671201069e-01
-2.928369324,3.067970276e-03,7.301441016e+00,1.478462959e+00,2.516347319e-01,2.683171012e-01
-2.925301362,3.067970276e-03,7.646724963e+00,1.502256325e+00,2.514838062e-01,2.692553165e-01
-2.922233401,3.067970276e-03,7.990231147e+00,1.524039566e+00,2.511711528e-01,2.700931818e-01
-2.919165439,3.067970276e-03,8.348022988e+00,1.538859454e+00,2.509930996e-01,2.709657600e-01
-2.916097478,3.067970276e-03,8.744040186e+00,1.549352759e+00,2.513243963e-01,2.711360400e-01
-2.913029516,3.067970276e-03,9.173478504e+00,1.546317216e+00,2.507358389e-01,2.725611615e-01
-2.909961555,3.067970276e-03,9.589327777e+00,1.541505041e+00,2.504533696e-01,2.730402148e-01
-2.906893593,3.067970276e-03,9.998406365e+00,1.540500360e+00,2.505115166e-01,2.742636078e-01
-2.903825631,3.067970276e-03,1.043989483e+01,1.541863338e+00,2.502816683e-01,2.753377524e-01
-2.900757670,3.067970276e-03,1.085452866e+01,1.563395834e+00,2.502421047e-01,2.753626193e-01
-2.897689708,3.067970276e-03,1.125477011e+01,1.595590749e+00,2.501778112e-01,2.766362842e-01
-2.894621747,3.067970276e-03,5.374762233e+00,1.284176801e+00,2.501362856e-01,2.776611704e-01
-2.891553785,3.067970276e-03,5.609830070e+00,1.167605769e+00,2.501108837e-01,2.792905945e-01
-2.888485824,3.067970276e-03,3.805733648e+00,1.073538800e+00,2.500680555e-01,2.984501112e-01
-2.885417862,3.067970276e-03,2.780458936e+00,9.906202273e-01,2.500389437e-01,2.807593136e-01
-2.882349900,3.067970276e-03,2.886987518e+00,9.186474086e-01,2.500237678e-01,2.814132597e-01
-2.879281939,3.067970276e-03,2.999879843e+00,8.446916260e-01,2.500036235e-01,2.826018128e-01
-2.876213977,3.067970276e-03,3.113300753e+00,7.723630463e-01,2.500256508e-01,2.836939412e-01
-2.873146016,3.067970276e-03,3.242978115e+00,6.972525344e-01,2.500977478e-01,2.840540737e-01
-2.870078054,3.067970276e-03,3.390171103e+00,6.238487579e-01,2.500399891e-01,2.847055274e-01
-2.867010093,3.067970276e-03,3.554344800e+00,5.487756898e-01,2.500645590e-01,2.858371139e-01
-2.863942131,3.067970276e-03,3.735278860e+00,4.749196656e-01,2.501301164e-01,2.870267317e-01
-2.860874169,3.067970276e-03,3.930625092e+00,4.181439661e-01,2.501251115e-01,2.883081158e-01
-2.857806208,3.067731857e-03,4.131999980e+00,3.738950553e-01,2.501339856e-01,2.889049751e-01
-2.854738246,3.067970276e-03,4.338025195e+00,3.483459548e-01,2.501789092e-01,2.892969732e-01
-2.851670285,3.067970276e-03,4.539911616e+00,3.341495083e-01,2.509242532e-01,2.897710707e-01
-2.848602323,3.067970276e-03,4.739799729e+00,3.288433250e-01,2.502023299e-01,2.911827464e-01
-2.845534362,3.067970276e-03,2.783676048e+00,1.229518655e+00,2.502225303e-01,2.915601971e-01
-2.842466400,3.067970276e-03,2.899552168e+00,1.138221820e+00,2.502221745e-01,2.924260007e-01
-2.839398438,3.067970276e-03,3.010924063e+00,1.067977198e+00,2.503653923e-01,2.930969967e-01
-2.836330477,3.067970276e-03,3.085403060e+00,1.017252005e+00,2.503104914e-01,2.931479801e-01
-2.833262515,3.067970276e-03,3.190208021e+00,9.731140247e-01,2.503059411e-01,2.949158661e-01
-2.830194554,3.067970276e-03,3.279485670e+00,9.352017582e-01,2.504040601e-01,2.958867168e-01
-2.827126592,3.067970276e-03,3.377524562e+00,8.894527420e-01,2.504033625e-01,2.955517907e-01
-2.824058630,3.067970276e-03,3.479434288e+00,8.486356059e-01,2.500559023e-01,2.977915953e-01
