log2x,native_sin,ref
1,np.float32(0.90929735),np.float64(0.9092974268256817)
2,np.float32(-0.7568024),np.float64(-0.7568024953079282)
3,np.float32(0.98935825),np.float64(0.9893582466233818)
4,np.float32(-0.28790262),np.float64(-0.2879033166650653)
5,np.float32(0.5514255),np.float64(0.5514266812416906)
6,np.float32(0.920025),np.float64(0.9200260381967907)
7,np.float32(0.7210411),np.float64(0.7210377105017316)
8,np.float32(-0.9992076),np.float64(-0.9992080341070627)
9,np.float32(0.079539016),np.float64(0.07951849401287635)
10,np.float32(-0.158574),np.float64(-0.15853338004399595)
11,np.float32(-0.31313536),np.float64(-0.31305701279012343)
12,np.float32(-0.5947747),np.float64(-0.5946419876082146)
13,np.float32(-0.9562698),np.float64(-0.9561731528431463)
14,np.float32(-0.5593907),np.float64(-0.559938465669347)
15,np.float32(0.9273625),np.float64(0.9278563334139247)
16,np.float32(0.69397134),np.float64(0.6920654538227232)
17,np.float32(-0.9993225),np.float64(-0.9991137889507709)
18,np.float32(-0.07356447),np.float64(-0.08410702780950072)
19,np.float32(0.14673033),np.float64(0.1676180272206543)
20,np.float32(0.2902846),np.float64(0.3304931400217347)
21,np.float32(0.5555701),np.float64(0.6238443993586297)
22,np.float32(0.9238795),np.float64(0.975129394941707)
23,np.float32(0.70710677),np.float64(0.4322482022567978)
24,np.float32(-1.0),np.float64(-0.7795636732177778)
25,np.float32(-0.0),np.float64(-0.9765172909509285)
26,np.float32(0.0),np.float64(0.42075989775848105)
27,np.float32(0.0),np.float64(-0.7634032288019807)
28,np.float32(0.0),np.float64(-0.9861982118369756)
29,np.float32(0.0),np.float64(0.3265676630185633)
30,np.float32(0.0),np.float64(-0.6173264150460421)
31,np.float32(0.0),np.float64(-0.9713101757929392)
32,np.float32(0.0),np.float64(-0.4619865795138349)
33,np.float32(0.0),np.float64(0.8194597047356359)
34,np.float32(0.0),np.float64(0.939325026946571)
35,np.float32(0.0),np.float64(-0.6444303510232912)
36,np.float32(0.0),np.float64(0.9855441071151041)
37,np.float32(0.0),np.float64(0.33393988357522025)
38,np.float32(0.0),np.float64(-0.6295397111170138)
39,np.float32(0.0),np.float64(-0.9782648087280756)
40,np.float32(0.0),np.float64(-0.40570501153282873)
41,np.float32(0.0),np.float64(0.741632065136774)
42,np.float32(0.0),np.float64(0.9949837941750821)
43,np.float32(0.0),np.float64(-0.19906887541578028)
44,np.float32(0.0),np.float64(0.39016922335187676)
45,np.float32(0.0),np.float64(0.7184912917209151)
46,np.float32(0.0),np.float64(0.9994730524837995)
47,np.float32(0.0),np.float64(-0.06488473623827369)
48,np.float32(0.0),np.float64(0.12949601773888192)
49,np.float32(0.0),np.float64(0.256811307519207)
50,np.float32(0.0),np.float64(0.49639651520894085)
51,np.float32(0.0),np.float64(0.8618395638813006)
52,np.float32(0.0),np.float64(0.8742173026236351)
53,np.float32(0.0),np.float64(-0.848925964814655)
54,np.float32(0.0),np.float64(0.8973347529975925)
55,np.float32(0.0),np.float64(-0.792078440790828)
56,np.float32(0.0),np.float64(0.9669999630612707)
57,np.float32(0.0),np.float64(-0.4927377568000124)
58,np.float32(0.0),np.float64(0.8575389706696844)
59,np.float32(0.0),np.float64(0.882268689877591)
60,np.float32(0.0),np.float64(-0.8306492176372546)
61,np.float32(0.0),np.float64(0.9250044602531619)
62,np.float32(0.0),np.float64(-0.7029224436192089)
63,np.float32(0.0),np.float64(0.9999303766734422)
64,np.float32(0.0),np.float64(0.023598509904439558)
65,np.float32(0.0),np.float64(-0.047183876212354675)
66,np.float32(0.0),np.float64(-0.09426264757175122)
67,np.float32(0.0),np.float64(-0.18768586056166964)
68,np.float32(0.0),np.float64(-0.36870103026143447)
69,np.float32(0.0),np.float64(-0.6854506367256435)
70,np.float32(0.0),np.float64(-0.9981794021933068)
71,np.float32(0.0),np.float64(-0.12041008028522009)
72,np.float32(0.0),np.float64(0.23906801037950104)
73,np.float32(0.0),np.float64(0.4642714269540833)
74,np.float32(0.0),np.float64(0.8224038806746091)
75,np.float32(0.0),np.float64(0.9357378532015473)
76,np.float32(0.0),np.float64(-0.6600625307954227)
77,np.float32(0.0),np.float64(0.991692018573773)
78,np.float32(0.0),np.float64(0.25513242885905807)
79,np.float32(0.0),np.float64(-0.49337821344540134)
80,np.float32(0.0),np.float64(-0.8582954304350271)
81,np.float32(0.0),np.float64(-0.8808786886511139)
82,np.float32(0.0),np.float64(0.8339139222362204)
83,np.float32(0.0),np.float64(-0.9204650614096729)
84,np.float32(0.0),np.float64(0.7194812564138756)
85,np.float32(0.0),np.float64(-0.9993765291704066)
86,np.float32(0.0),np.float64(0.07056908810721207)
87,np.float32(0.0),np.float64(-0.14078630379647677)
88,np.float32(0.0),np.float64(-0.2787681465633725)
89,np.float32(0.0),np.float64(-0.5354346809899501)
90,np.float32(0.0),np.float64(-0.9044312486086016)
91,np.float32(0.0),np.float64(-0.7716958419032098)
92,np.float32(0.0),np.float64(0.9815844040327961)
93,np.float32(0.0),np.float64(-0.37502206591107046)
94,np.float32(0.0),np.float64(0.6953028242607651)
95,np.float32(0.0),np.float64(0.9994517810498043)
96,np.float32(0.0),np.float64(0.06617962947221895)
97,np.float32(0.0),np.float64(-0.13206909108805592)
98,np.float32(0.0),np.float64(-0.26182446727863773)
99,np.float32(0.0),np.float64(-0.5053817087238509)
100,np.float32(0.0),np.float64(-0.8721836054182673)
101,np.float32(0.0),np.float64(-0.8533072094677567)
102,np.float32(0.0),np.float64(0.8898432354492782)
103,np.float32(0.0),np.float64(-0.8120111168870755)
104,np.float32(0.0),np.float64(0.9478475315395664)
105,np.float32(0.0),np.float64(-0.6042037178234906)
106,np.float32(0.0),np.float64(0.9628951592984621)
107,np.float32(0.0),np.float64(0.5197240771798673)
108,np.float32(0.0),np.float64(-0.8880360820347194)
109,np.float32(0.0),np.float64(-0.8165913896916115)
110,np.float32(0.0),np.float64(0.942699502278354)
111,np.float32(0.0),np.float64(-0.6290501714741525)
112,np.float32(0.0),np.float64(0.9780027996814009)
113,np.float32(0.0),np.float64(0.40800665745870496)
114,np.float32(0.0),np.float64(-0.7450029813727101)
115,np.float32(0.0),np.float64(-0.9939250685744649)
116,np.float32(0.0),np.float64(0.21878056866458756)
117,np.float32(0.0),np.float64(-0.4269608179195274)
118,np.float32(0.0),np.float64(-0.7721758248497013)
119,np.float32(0.0),np.float64(-0.9812948137167642)
120,np.float32(0.0),np.float64(0.377820109360752)
121,np.float32(0.0),np.float64(-0.6996314273396821)
122,np.float32(0.0),np.float64(-0.999778808666842)
123,np.float32(0.0),np.float64(-0.04205415944098432)
124,np.float32(0.0),np.float64(0.08403391098733684)
125,np.float32(0.0),np.float64(0.1674733484996188)
126,np.float32(0.0),np.float64(0.3302161120274418)
